444975|321275|711.9
444325|320325|730.5
444475|318975|738.3
445425|318925|757.0
445525|320325|751.8
446775|321675|728.2
446975|320125|713.4
446725|318675|731.9
445225|318325|744.3
445475|316675|794.5
447925|316675|775.1
446825|315875|785.7
445175|314675|785.3
446825|313625|787.0
444325|314125|773.5
444725|312025|779.0
446275|313175|818.9
446675|313075|788.6
446575|311725|784.7
445625|310175|778.8
448025|310325|781.7
448375|311875|793.3
449675|311075|764.5
449825|314125|798.6
448175|314925|752.6
449425|316125|753.9
449125|317225|725.7
447825|321225|708.6
450075|311375|697.9
450475|318975|695.3
451125|318225|697.2
451375|314925|764.1
451325|312775|758.8
450425|312075|755.4
453325|311425|734.5
455675|310225|681.6
455525|312725|691.8
455025|314925|700.6
455425|316575|687.3
453575|318775|695.0
455325|319025|668.1
455625|321575|686.5

